site;management;DBH (cm);hollow;DBHclass
VOJK;pollard;73;1;3
VOJK;pollard;77;1;3
VOJK;pollard;85;1;3
VOJK;pollard;75;1;3
VOJK;pollard;84;1;3
VOJK;pollard;79;1;3
VOJK;pollard;56;1;2
VOJK;pollard;76;1;3
VOJK;pollard;41;1;2
VOJK;pollard;38;1;2
VOJK;pollard;46;1;2
VOJK;pollard;48;0;2
VOJK;pollard;51;1;2
VOJK;pollard;49;1;2
VOJK;pollard;32;0;2
VOJK;pollard;61;1;3
VOJK;pollard;49;1;2
VOJK;pollard;61;1;3
VOJK;pollard;32;1;2
VOJK;pollard;71;1;3
VOJK;pollard;49;1;2
VOJK;pollard;42;1;2
VOJK;pollard;54;1;2
VOJK;pollard;42;1;2
VOJK;pollard;53;1;2
VOJK;pollard;51;1;2
VOJK;pollard;56;1;2
VOJK;pollard;57;1;2
VOJK;pollard;38;1;2
VOJK;pollard;46;1;2
VOJK;pollard;64;1;3
VOJK;pollard;64;1;3
VOJK;pollard;64;1;3
VOJK;pollard;52;1;2
VOJK;pollard;80;1;3
VOJK;pollard;60;1;3
VOJK;pollard;41;1;2
VOJK;pollard;37;1;2
VOJK;pollard;53;1;2
VOJK;pollard;45;1;2
VOJK;pollard;53;1;2
VOJK;pollard;42;1;2
VOJK;pollard;64;1;3
VOJK;pollard;48;1;2
VOJK;pollard;45;1;2
VOJK;pollard;41;0;2
VOJK;pollard;45;1;2
VOJK;pollard;64;1;3
VOJK;pollard;39;1;2
VOJK;pollard;57;1;2
VOJK;pollard;32;1;2
VOJK;pollard;64;1;3
VOJK;pollard;35;1;2
VOJK;pollard;80;1;3
VOJK;pollard;48;1;2
VOJK;pollard;51;1;2
VOJK;pollard;54;1;2
VOJK;pollard;64;1;3
VOJK;pollard;64;1;3
VOJK;pollard;85;1;3
VOJK;pollard;32;0;2
VOJK;pollard;80;1;3
VOJK;pollard;96;1;4
VOJK;pollard;48;1;2
VOJK;pollard;64;1;3
VOJK;pollard;64;1;3
VOJK;pollard;71;1;3
VOJK;pollard;69;1;3
VOJK;pollard;17;0;1
VOJK;pollard;18;0;1
VOJK;pollard;6;0;1
VOJK;pollard;21;0;1
VOJK;pollard;25;0;1
VOJK;pollard;10;0;1
VOJK;pollard;11;0;1
VOJK;pollard;23;0;1
VOJK;pollard;15;0;1
VOJK;pollard;15;0;1
VOJK;pollard;14;0;1
VOJK;pollard;29;0;1
VOJK;pollard;23;0;1
VOJK;pollard;18;0;1
VOJK;pollard;32;0;2
VOJK;pollard;100;1;4
VOJK;pollard;49;1;2
VOJK;pollard;52;1;2
VOJK;pollard;58;1;2
VOJK;pollard;89;1;3
VOJK;pollard;45;1;2
VOJK;pollard;55;1;2
VOJK;pollard;46;1;2
VOJK;pollard;79;1;3
VOJK;pollard;41;1;2
VOJK;pollard;58;1;2
VOJK;pollard;38;1;2
VOJK;pollard;47;1;2
VOJK;pollard;32;1;2
VOJK;pollard;54;1;2
VOJK;pollard;53;1;2
VOJK;pollard;96;1;4
VOJK;pollard;33;1;2
VOJK;pollard;45;1;2
VOJK;pollard;63;1;3
VOJK;pollard;53;1;2
VOJK;pollard;77;1;3
VOJK;pollard;71;1;3
VOJK;pollard;48;0;2
VOJK;pollard;57;1;2
VOJK;pollard;62;1;3
VOJK;pollard;60;1;2
VOJK;pollard;57;1;2
VOJK;pollard;84;1;3
VOJK;pollard;111;1;4
VOJK;pollard;73;1;3
VOJK;pollard;55;1;2
VOJK;pollard;64;1;3
VOJK;pollard;28;0;1
VOJK;pollard;45;1;2
VOJK;pollard;52;1;2
VOJK;pollard;55;1;2
VOJK;pollard;53;1;2
VOJK;pollard;53;1;2
VOJK;pollard;60;1;2
VOJK;pollard;36;1;2
VOJK;pollard;69;1;3
VOJK;pollard;60;1;2
VOJK;pollard;66;1;3
VOJK;pollard;46;1;2
VOJK;pollard;54;1;2
VOJK;pollard;43;1;2
VOJK;pollard;56;1;2
VOJK;pollard;36;1;2
VOJK;pollard;47;1;2
VOJK;pollard;46;1;2
VOJK;pollard;57;1;2
VOJK;pollard;45;1;2
VOJK;pollard;64;1;3
VOJK;pollard;62;1;3
VOJK;pollard;56;1;2
VOJK;pollard;54;1;2
